term,uri
latestAgeOrHighestStage,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage
latestEonOrHighestEonothem,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem
latestEpochOrHighestSeries,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries
latestEraOrHighestErathem,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem
latestPeriodOrHighestSystem,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem
lifeStage,http://rs.tdwg.org/dwc/terms/lifeStage
lithostratigraphicTerms,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms
locality,http://rs.tdwg.org/dwc/terms/locality
locationAccordingTo,http://rs.tdwg.org/dwc/terms/locationAccordingTo
locationAttributes,http://rs.tdwg.org/dwc/terms/locationAttributes
locationID,http://rs.tdwg.org/dwc/terms/locationID
locationRemarks,http://rs.tdwg.org/dwc/terms/locationRemarks
lowestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone
materialSampleID,http://rs.tdwg.org/dwc/terms/materialSampleID
maximumDepthInMeters,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters
maximumDistanceAboveSurfaceIn,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceIn
maximumElevationInMeters,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters
measurementAccuracy,http://rs.tdwg.org/dwc/terms/measurementAccuracy
measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy
measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate
measurementID,http://rs.tdwg.org/dwc/terms/measurementID
measurementMethod,http://rs.tdwg.org/dwc/terms/measurementMethod
measurementRemarks,http://rs.tdwg.org/dwc/terms/measurementRemarks
measurementType,http://rs.tdwg.org/dwc/terms/measurementType
measurementUnit,http://rs.tdwg.org/dwc/terms/measurementUnit
measurementValue,http://rs.tdwg.org/dwc/terms/measurementValue
member,http://rs.tdwg.org/dwc/terms/member
minimumDepthInMeters,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters
minimumDistanceAboveSurfaceIn,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceIn
minimumElevationInMeters,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters
month,http://rs.tdwg.org/dwc/terms/month
municipality,http://rs.tdwg.org/dwc/terms/municipality
nameAccordingTo,http://rs.tdwg.org/dwc/terms/nameAccordingTo
nameAccordingToID,http://rs.tdwg.org/dwc/terms/nameAccordingToID
namePublicationID,http://rs.tdwg.org/dwc/terms/namePublicationID
namePublishedIn,http://rs.tdwg.org/dwc/terms/namePublishedIn
namePublishedInID,http://rs.tdwg.org/dwc/terms/namePublishedInID
namePublishedInYear,http://rs.tdwg.org/dwc/terms/namePublishedInYear
nomenclaturalCode,http://rs.tdwg.org/dwc/terms/nomenclaturalCode
nomenclaturalStatus,http://rs.tdwg.org/dwc/terms/nomenclaturalStatus
occurrenceAttributes,http://rs.tdwg.org/dwc/terms/occurrenceAttributes
occurrenceDetails,http://rs.tdwg.org/dwc/terms/occurrenceDetails
occurrenceID,http://rs.tdwg.org/dwc/terms/occurrenceID
occurrenceMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementAccuracy
occurrenceMeasurementDetermine,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDetermine
occurrenceMeasurementDetermin,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDetermin
occurrenceMeasurementID,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementID
occurrenceMeasurementRemarks,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementRemarks
occurrenceMeasurementType,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementType
occurrenceMeasurementUnit,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementUnit
occurrenceMeasurementValue,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementValue
occurrenceRemarks,http://rs.tdwg.org/dwc/terms/occurrenceRemarks
occurrenceStatus,http://rs.tdwg.org/dwc/terms/occurrenceStatus
order,http://rs.tdwg.org/dwc/terms/order
organismID,http://rs.tdwg.org/dwc/terms/organismID
organismName,http://rs.tdwg.org/dwc/terms/organismName
organismQuantity,http://rs.tdwg.org/dwc/terms/organismQuantity
organismQuantityType,http://rs.tdwg.org/dwc/terms/organismQuantityType
organismRemarks,http://rs.tdwg.org/dwc/terms/organismRemarks
organismScope,http://rs.tdwg.org/dwc/terms/organismScope
originalNameUsage,http://rs.tdwg.org/dwc/terms/originalNameUsage
originalNameUsageID,http://rs.tdwg.org/dwc/terms/originalNameUsageID
otherCatalogNumbers,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers
ownerInstitutionCode,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode
parentEventID,http://rs.tdwg.org/dwc/terms/parentEventID
parentNameUsage,http://rs.tdwg.org/dwc/terms/parentNameUsage
parentNameUsageID,http://rs.tdwg.org/dwc/terms/parentNameUsageID
pathway,http://rs.tdwg.org/dwc/terms/pathway
phylum,http://rs.tdwg.org/dwc/terms/phylum
pointRadiusSpatialFit,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit
preparations,http://rs.tdwg.org/dwc/terms/preparations
previousIdentifications,http://rs.tdwg.org/dwc/terms/previousIdentifications
recordedBy,http://rs.tdwg.org/dwc/terms/recordedBy
recordedByID,http://rs.tdwg.org/dwc/terms/recordedByID
recordNumber,http://rs.tdwg.org/dwc/terms/recordNumber
relatedResourceID,http://rs.tdwg.org/dwc/terms/relatedResourceID
relatedResourceType,http://rs.tdwg.org/dwc/terms/relatedResourceType
relationshipAccordingTo,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo
relationshipEstablishedDate,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate
relationshipOfResource,http://rs.tdwg.org/dwc/terms/relationshipOfResource
relationshipRemarks,http://rs.tdwg.org/dwc/terms/relationshipRemarks
reproductiveCondition,http://rs.tdwg.org/dwc/terms/reproductiveCondition
resourceID,http://rs.tdwg.org/dwc/terms/resourceID
resourceRelationshipID,http://rs.tdwg.org/dwc/terms/resourceRelationshipID
sampleSizeUnit,http://rs.tdwg.org/dwc/terms/sampleSizeUnit
sampleSizeValue,http://rs.tdwg.org/dwc/terms/sampleSizeValue
samplingEffort,http://rs.tdwg.org/dwc/terms/samplingEffort
samplingProtocol,http://rs.tdwg.org/dwc/terms/samplingProtocol
scientificName,http://rs.tdwg.org/dwc/terms/scientificName
scientificNameAuthorship,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship
scientificNameID,http://rs.tdwg.org/dwc/terms/scientificNameID
scientificNameRank,http://rs.tdwg.org/dwc/terms/scientificNameRank
sex,http://rs.tdwg.org/dwc/terms/sex
specificEpithet,http://rs.tdwg.org/dwc/terms/specificEpithet
startDayOfYear,http://rs.tdwg.org/dwc/terms/startDayOfYear
stateProvince,http://rs.tdwg.org/dwc/terms/stateProvince
subgenus,http://rs.tdwg.org/dwc/terms/subgenus
taxonAccordingTo,http://rs.tdwg.org/dwc/terms/taxonAccordingTo
taxonAttributes,http://rs.tdwg.org/dwc/terms/taxonAttributes
taxonConceptID,http://rs.tdwg.org/dwc/terms/taxonConceptID
taxonID,http://rs.tdwg.org/dwc/terms/taxonID
taxonNameID,http://rs.tdwg.org/dwc/terms/taxonNameID
taxonomicStatus,http://rs.tdwg.org/dwc/terms/taxonomicStatus
taxonRank,http://rs.tdwg.org/dwc/terms/taxonRank
taxonRemarks,http://rs.tdwg.org/dwc/terms/taxonRemarks
typeStatus,http://rs.tdwg.org/dwc/terms/typeStatus
verbatimCoordinates,http://rs.tdwg.org/dwc/terms/verbatimCoordinates
verbatimCoordinateSystem,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem
verbatimDepth,http://rs.tdwg.org/dwc/terms/verbatimDepth
verbatimElevation,http://rs.tdwg.org/dwc/terms/verbatimElevation
verbatimEventDate,http://rs.tdwg.org/dwc/terms/verbatimEventDate
verbatimLatitude,http://rs.tdwg.org/dwc/terms/verbatimLatitude
verbatimLocality,http://rs.tdwg.org/dwc/terms/verbatimLocality
verbatimLongitude,http://rs.tdwg.org/dwc/terms/verbatimLongitude
verbatimScientificNameRank,http://rs.tdwg.org/dwc/terms/verbatimScientificNameRank
verbatimSRS,http://rs.tdwg.org/dwc/terms/verbatimSRS
verbatimTaxonRank,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank
vernacularName,http://rs.tdwg.org/dwc/terms/vernacularName
waterBody,http://rs.tdwg.org/dwc/terms/waterBody
year,http://rs.tdwg.org/dwc/terms/year
