term,uri
maximumElevationInMeters,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters
measurementAccuracy,http://rs.tdwg.org/dwc/terms/measurementAccuracy
measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy
measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate
measurementID,http://rs.tdwg.org/dwc/terms/measurementID
measurementMethod,http://rs.tdwg.org/dwc/terms/measurementMethod
MeasurementOrFact,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
measurementRemarks,http://rs.tdwg.org/dwc/terms/measurementRemarks
measurementType,http://rs.tdwg.org/dwc/terms/measurementType
measurementUnit,http://rs.tdwg.org/dwc/terms/measurementUnit
measurementValue,http://rs.tdwg.org/dwc/terms/measurementValue
member,http://rs.tdwg.org/dwc/terms/member
minimumDepthInMeters,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters
minimumDistanceAboveSurfaceInMeters,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters
minimumElevationInMeters,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters
month,http://rs.tdwg.org/dwc/terms/month
municipality,http://rs.tdwg.org/dwc/terms/municipality
nameAccordingTo,http://rs.tdwg.org/dwc/terms/nameAccordingTo
nameAccordingToID,http://rs.tdwg.org/dwc/terms/nameAccordingToID
namePublishedIn,http://rs.tdwg.org/dwc/terms/namePublishedIn
namePublishedInID,http://rs.tdwg.org/dwc/terms/namePublishedInID
namePublishedInYear,http://rs.tdwg.org/dwc/terms/namePublishedInYear
nomenclaturalCode,http://rs.tdwg.org/dwc/terms/nomenclaturalCode
nomenclaturalStatus,http://rs.tdwg.org/dwc/terms/nomenclaturalStatus
Occurrence,http://rs.tdwg.org/dwc/terms/Occurrence
occurrenceID,http://rs.tdwg.org/dwc/terms/occurrenceID
occurrenceRemarks,http://rs.tdwg.org/dwc/terms/occurrenceRemarks
occurrenceStatus,http://rs.tdwg.org/dwc/terms/occurrenceStatus
order,http://rs.tdwg.org/dwc/terms/order
Organism,http://rs.tdwg.org/dwc/terms/Organism
organismID,http://rs.tdwg.org/dwc/terms/organismID
organismName,http://rs.tdwg.org/dwc/terms/organismName
organismQuantity,http://rs.tdwg.org/dwc/terms/organismQuantity
organismQuantityType,http://rs.tdwg.org/dwc/terms/organismQuantityType
organismRemarks,http://rs.tdwg.org/dwc/terms/organismRemarks
organismScope,http://rs.tdwg.org/dwc/terms/organismScope
originalNameUsage,http://rs.tdwg.org/dwc/terms/originalNameUsage
originalNameUsageID,http://rs.tdwg.org/dwc/terms/originalNameUsageID
otherCatalogNumbers,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers
ownerInstitutionCode,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode
parentEventID,http://rs.tdwg.org/dwc/terms/parentEventID
parentMeasurementID,http://rs.tdwg.org/dwc/terms/parentMeasurementID
parentNameUsage,http://rs.tdwg.org/dwc/terms/parentNameUsage
parentNameUsageID,http://rs.tdwg.org/dwc/terms/parentNameUsageID
pathway,http://rs.tdwg.org/dwc/terms/pathway
phylum,http://rs.tdwg.org/dwc/terms/phylum
pointRadiusSpatialFit,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit
preparations,http://rs.tdwg.org/dwc/terms/preparations
PreservedSpecimen,http://rs.tdwg.org/dwc/terms/PreservedSpecimen
previousIdentifications,http://rs.tdwg.org/dwc/terms/previousIdentifications
recordedBy,http://rs.tdwg.org/dwc/terms/recordedBy
recordedByID,http://rs.tdwg.org/dwc/terms/recordedByID
recordNumber,http://rs.tdwg.org/dwc/terms/recordNumber
relatedResourceID,http://rs.tdwg.org/dwc/terms/relatedResourceID
relationshipAccordingTo,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo
relationshipEstablishedDate,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate
relationshipOfResource,http://rs.tdwg.org/dwc/terms/relationshipOfResource
relationshipOfResourceID,http://rs.tdwg.org/dwc/terms/relationshipOfResourceID
relationshipRemarks,http://rs.tdwg.org/dwc/terms/relationshipRemarks
reproductiveCondition,http://rs.tdwg.org/dwc/terms/reproductiveCondition
resourceID,http://rs.tdwg.org/dwc/terms/resourceID
ResourceRelationship,http://rs.tdwg.org/dwc/terms/ResourceRelationship
resourceRelationshipID,http://rs.tdwg.org/dwc/terms/resourceRelationshipID
sampleSizeUnit,http://rs.tdwg.org/dwc/terms/sampleSizeUnit
sampleSizeValue,http://rs.tdwg.org/dwc/terms/sampleSizeValue
samplingEffort,http://rs.tdwg.org/dwc/terms/samplingEffort
samplingProtocol,http://rs.tdwg.org/dwc/terms/samplingProtocol
scientificName,http://rs.tdwg.org/dwc/terms/scientificName
scientificNameAuthorship,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship
scientificNameID,http://rs.tdwg.org/dwc/terms/scientificNameID
sex,http://rs.tdwg.org/dwc/terms/sex
specificEpithet,http://rs.tdwg.org/dwc/terms/specificEpithet
startDayOfYear,http://rs.tdwg.org/dwc/terms/startDayOfYear
stateProvince,http://rs.tdwg.org/dwc/terms/stateProvince
subfamily,http://rs.tdwg.org/dwc/terms/subfamily
subgenus,http://rs.tdwg.org/dwc/terms/subgenus
subtribe,http://rs.tdwg.org/dwc/terms/subtribe
superfamily,http://rs.tdwg.org/dwc/terms/superfamily
Taxon,http://rs.tdwg.org/dwc/terms/Taxon
taxonConceptID,http://rs.tdwg.org/dwc/terms/taxonConceptID
taxonID,http://rs.tdwg.org/dwc/terms/taxonID
taxonomicStatus,http://rs.tdwg.org/dwc/terms/taxonomicStatus
taxonRank,http://rs.tdwg.org/dwc/terms/taxonRank
taxonRemarks,http://rs.tdwg.org/dwc/terms/taxonRemarks
tribe,http://rs.tdwg.org/dwc/terms/tribe
typeStatus,http://rs.tdwg.org/dwc/terms/typeStatus
verbatimCoordinates,http://rs.tdwg.org/dwc/terms/verbatimCoordinates
verbatimCoordinateSystem,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem
verbatimDepth,http://rs.tdwg.org/dwc/terms/verbatimDepth
verbatimElevation,http://rs.tdwg.org/dwc/terms/verbatimElevation
verbatimEventDate,http://rs.tdwg.org/dwc/terms/verbatimEventDate
verbatimIdentification,http://rs.tdwg.org/dwc/terms/verbatimIdentification
verbatimLabel,http://rs.tdwg.org/dwc/terms/verbatimLabel
verbatimLatitude,http://rs.tdwg.org/dwc/terms/verbatimLatitude
verbatimLocality,http://rs.tdwg.org/dwc/terms/verbatimLocality
verbatimLongitude,http://rs.tdwg.org/dwc/terms/verbatimLongitude
verbatimSRS,http://rs.tdwg.org/dwc/terms/verbatimSRS
verbatimTaxonRank,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank
vernacularName,http://rs.tdwg.org/dwc/terms/vernacularName
verticalDatum,http://rs.tdwg.org/dwc/terms/verticalDatum
vitality,http://rs.tdwg.org/dwc/terms/vitality
waterBody,http://rs.tdwg.org/dwc/terms/waterBody
year,http://rs.tdwg.org/dwc/terms/year
